lyric,label
I ai cawboy viado Longe de casa faz mais de uma semana Aqui você é macho né? Mais a gente sabe da sua fama Anda pra lá e pra cá Com essa sua calça jeans socada no rego E ainda quer paga de machão Monta no cavalo E sai com o rabo todo empinado Ae cawboy viado    (refrão 1) senta eu sei que senta ele senta eu sei que senta ele senta eu sei que senta ele senta eu sei que senta    (refrão 2) Senta no cavalo só pra levantar o rabo Senta no cavalo só pra levantar o rabo Senta no cavalo só pra levantar o rabo Senta no cavalo só pra levantar o rabo    I ai cawboy viado Chapeuzinho dobrado E aqui no rodeio  Cheio de querer ser peão Fivela na calça Engracha seu sapato E paga de machão Ae cawboy viado    (refrão 1) (refrão 2)    E ai cawboy viado Anda de Picape Com o chifre colado no capo Com a carroceria cheia de macho Enquanto isso lá em casa A patroa só com Ricardão Ae cawboy viado    (refrão 1) (refrão 2)    ,axe
Amor de verdade eu só senti Foi com você meu bem Comigo? E todas as loucuras Desse nosso amor Você me deu também...    Você já faz parte Da minha vida E fica tão difícil Dividir você de mim E quando faz carinho Me abraça Aí eu fico de graça Te chamando pra me amar...    Mal acostumado Você me deixou Mal acostumado Com o seu amor Então volta Traz de volta meu sorriso Sem você não posso ser feliz...(2x)    Amor de verdade eu só senti Foi com você meu bem E todas as loucuras Desse nosso amor Você me deu também...    Você já faz parte Da minha vida E fica tão difícil Dividir você de mim E quando faz carinho Me abraça Aí eu fico de graça Te chamando pra me amar...    Mal acostumado Você me deixou Mal acostumado Com o seu amor Então volta Traz de volta meu sorriso Sem você não posso ser feliz...(3x)    ,axe
"Hoje eu vou chegar chegando Melhor ir se preparando Fala pro dono do bar Que é pra ele não se atrasar    Som de buzina Carro com cortina Certeza que hoje tem Ninguém aqui é de ninguém    O mundo gira Depois da tequila Tora o som do carro aê Que hoje eu vou mandar descer    Eu já tô vendo Várias novinhas descendo Eu já tô vendo Várias novinhas descendo    Vai descendo, vai descendo Várias novinhas descendo Vai descendo, vai descendo Várias novinhas descendo    E eu já tô vendo Várias novinhas descendo Eu já tô vendo Várias novinhas descendo    Vai descendo, vai descendo, mãe Várias novinhas descendo Vai descendo, vai descendo Várias novinhas descendo    Hoje eu vou chegar chegando Melhor ir se preparando Fala pro dono do bar Que é pra ele não se atrasar    Som de buzina Carro com cortina Certeza que hoje tem Ninguém aqui é de ninguém    O mundo gira Depois da tequila Tora o som do carro aê Que hoje eu vou mandar descer    Eu já tô vendo Várias novinhas descendo Eu já tô vendo Várias novinhas descendo    Vai descendo, vai descendo, mãe Várias novinhas descendo Vai descendo, vai descendo Várias novinhas descendo    E eu já tô vendo Chama no swing! Eu já tô vendo Várias novinhas descendo    Vai descendo, vai descendo Várias novinhas descendo Vai descendo, vai descendo Várias novinhas descendo    Vem com o gigante    Hoje eu vou chegar chegando Melhor ir se preparando Fala pro dono do bar Que é pra ele não se atrasar    ",axe
"Eu quero ser o seu lençol macio Eu quero te aquecer no tempo frio Com você também quero alegria Gosto muito de você!    Eu quero ser um pássaro bonito Eu quero voar no seu infinito céu Se você for e não voltar eu vou chorar Gosto muito de você!    Baby Não me deixe só Olha, não se esconda Não se esconda não!    Baby Eu quero o seu amor E assim sem perceber    Eu vou viver em paz, com você Eu vou viver em paz, com você Eu vou viver em paz, com você Eu vou viver em paz, com você    Quando faz frio, desejo o teu calor Quando anoitece, cada estrela é você No universo não há nada maior Do que esse amor que estou sentindo bem perto    Conto as horas pra te encontrar E toda hora é hora pra ter você E não me canso, insisto porque tudo de bom é Viver em paz, em paz com o seu amor.    Baby Não me deixe só Olha, não se esconda Não se esconda não!    Baby Eu quero o seu amor E assim sem perceber    Eu vou viver em paz, com você Eu vou viver em paz, com você Eu vou viver em paz, com você Eu vou viver em paz, com você    ",axe
Canarinho de Alemanha Quem matou meu curió (bis) Oi canarinho da Alemanha Coro: Canarinho de Alemanha Quem matou meu curió (bis) Oi canarinho de Alemanha Quem matou meu curió Eu jogo capoeira mas João cai melhor Oi canarinho de Alemanha Oi canarinho de Alemanha Quem matou meu curió Eu jogo capoeira e angola da melhor Oi canarinho de Alemanha    ,axe
"Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia!    Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha  O Terra Samba é coisa da Bahia!    Andar na muvuca Não levanta o seu astral Até aí tá tudo normal Gostar de Bob Marley Vai propor o carnaval Nada contra até que é legal...    Filosofia é a sua terapia  Ficar na dela Não gosta de agonia  Filosofia é a sua terapia  Ficar na dela Não gosta de agonia...    Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha  O Terra Samba é coisa da Bahia!    Clarear, clareou!  Aqui no samba essa onda acabou! Clarear, clareou! Aqui no samba essa onda acabou!    Viagem de avião Voou internacional Só usa marca, sapato legal Não resiste a um cineminha Junto com sua titia Essa menina Tá tirando ondindinha...    Filosofia é a sua terapia  Ficar na dela Não gosta de agonia  Filosofia é a sua terapia  Ficar na dela Não gosta de agonia...    Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Mas tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Mas tá tirando onda Tá tirando ondinha...    Clarear, clareou!  Aqui no samba essa onda acabou! Clarear, clareou! Aqui no samba essa onda acabou!    Viagem de avião Voou internacional Só usa marca, sapato legal Não resiste a um cineminha Junto com sua titia Essa menina Tá tirando ondindinha...    Filosofia é a sua terapia  Ficar na dela Não gosta de agonia  Filosofia é a sua terapia  Ficar na dela Não gosta de agonia...    Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia! Tá tirando onda Tá tirando ondinha O Terra Samba é coisa da Bahia!    ",axe
"Requebra, requebra, requebra assim Pode falar, pode rir de mim (4 vezes) Requebra! Deusa de marron Jeito sensual Quando ela passa agita a cidade Pois é carnaval....................Bis Eu já falei que te quero, Não tenho vergonha de te assumir (não, não) Pois o homem não vive Se o seu sentimento não admitir Pode requebrar, pode requebrar    Requebra, requebra, requebra assim Pode falar, pode rir de mim (4 vezes)  requebra... Faça o que quizer, mas eu não vou te esquecer Quero você, amoooor!(bis) Requebra!    Requebra, requebra, requebra assim Pode falar, pode rir de mim (4 vezes)   Requebra.... Até no chão!    Embaixo, embaixo, embaixo- ôôô Em cima, em cima ,em cima-ôôô ........bis Vào la mainha! (solo) Embaixo embaixo embaixo -ôôô    ",axe
"Siamo qui, senza un vero perché  Con la voglia di scappare  Ma restiamo abbracciati  Fino a quando verrà il momento di partire     Domani dormirò (perché tu non ci sei)  Qualche ora di più (perché non ci sarò amore mio)  Non saremo abbracciati, ma lontani     Gioca il primo mese con le lettere distese  Io ti scriverò ti amo  Esci qualche sera so che non puoi farne a meno  Non tradirmi mai se ci tieni  Tornerai più importante che mai  E staremo abbracciati tutto il tempo che vuoi     Libera (ti lascio amore mio)  Ma gelosa di lei (ti lascio amore mio ma non vorrei)  Siamo ancora abbracciati ma lontani     Una sera che ho bevuto, a tradirti ci ho provato  Come sa di sale  Io ancora alle coperte fa paura il temporale  Senza te sto male  Tornerai più importante che mai  E staremo abbracciati tutto il tempo che vuoi    ",axe
"If you want the rainbow, you gotta put up with the rain furidashita ame no naka boku wa tabi e nureta fuku wo kawaka shite mo mata nureta pokkari aita kokoro no kizu kakaru noise wa ano koro no miss mamoritai mono wa donna toki datte boku no moto kara hanareteiku zatta no naka shinji tsudzuketa kuzurenu kizuna oshiete kureta toku saki tsunagu kono omoi wo seou jibun oikose    daiji na koto wo kimi ni osowattanda taisetsu na mono no tame tsuyoku nareru yo me tsubunaide chanto kotchi muiteru ka kore ga ore da yoku mi toke Never give up! Stand up! Hands high! High! High! nando datte akirame kaketa nando datte te wo totte kureta kimi ga ita kara soko ni kimi ga ita kara donna konnan mo koete yukeru kimi to nara sono saki e    makerenai obietai nasakenai namida wa nagasenai mamoritai miteitai love your life kawaru kawaru kawaru kawaru keshiki no naka tada hitotsu dake kawaranai mon ga aru kimi ni osowatta boku demo kono mune no oku yuragu koto no nai ishi unmei sonna no wa keri tobasu jinsei sore wa ring natchi matta gong kankankan hajimari shinjitsu kore ga real nigemichi wa nai hokori wo motte nozomeru kono death battle    wakari ya shinai yo saki no koto nante jibun no naka no hikari wo shinji tsudzukete itsuka kizu ga ieru no? itsu made tsumi tsugunau no? pokkari aita sukima no naka umeru naite koron demo koereru yo kewashii michi demo futari de aruki tsukareta toki sashikomu hikari kakatta kumo ni hikari sasu toki arata na sekai no tobira akeru kagi    pokkari aita kokoro no kizu kakaru noizu wa anogoro no misu mamoritaimono wa donna toki datte todokanai basho e kieteiku maemuki mune hari omoikkiri kabe wo kowase saki tsunagu kono omoi wo seoou jibun oikose    daiji na koto o kimi ni osowattanda taisetsu na mono no tame tsuyoku nareru yo me tsubunnaide chanto kocchi muiteru ka kore ga ore da yoku mi toke Never give up! Stand up! Hands high! High! High! nando datte akirame kaketa nando datte te o totte kureta kimi ga itakara soko ni kimi ga ita kara donna konnan mo koete ikeru kimi to nara sono saki e    ",axe
"O bumbum dessa negona Gosta da trilha sonora O bumbum da patricinha Também ta perdendo a linha Quando toca o pagodão Elas não se dão    Bota o bumbum dela no paredão Bota o bumbum dela no paredão Bota o bumbum dela no paredão Bota o bumbum dela no paredão    Aumenta o som que ela gosta Deixa na altura dela Só assim ela se empolga Pra chamar a amiga dela Gabriela, Jaqueline, Isabela Também vem, duelo dos paredões Lasca o volume no 100, vem    Bota o bumbum dela no paredão Bota o bumbum dela no paredão Bota o bumbum dela no paredão Bota o bumbum dela no paredão    ",axe
